,Turbine,Date & Time,WTG-B (2.82-FDR 2A) - (GRID) OPERATING TIME,WTG-B (2.82-FDR 2A) - BLADE 1 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 1 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - SET VALUE,WTG-B (2.82-FDR 2A) - DOWN TIME,WTG-B (2.82-FDR 2A) - EXPECTED POWER,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE INTERMEDIATE SHAFT GENERATOR SIDE (ROTOR SIDE),WTG-B (2.82-FDR 2A) - POWER,WTG-B (2.82-FDR 2A) - PRODUCTION,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR BEARING 2 TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR SPEED (PLC),WTG-B (2.82-FDR 2A) - STATE AND FAULT,WTG-B (2.82-FDR 2A) - GENERATOR OUTBOARD BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - HUB TEMPERATURE,WTG-B (2.82-FDR 2A) - SHAFT BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - TIP SPEED,WTG-B (2.82-FDR 2A) - TIP SPEED RATIO,WTG-B (2.82-FDR 2A) - TOWER ACCELERATION,WTG-B (2.82-FDR 2A) - WIND DIRECTION,WTG-B (2.82-FDR 2A) - WIND SPEED,WTG-B (2.82-FDR 2A) - YAW DEVIATION
4034,WTG-B,18-Oct-21 00:10:00,5820073,10.36273956,10.54648304,6.437584877,7.025159359,7.435428619,6.796467304,1602236,2819.593018,-3278.5,2482.785645,2036104,65.16329956,-3.700000048,13.49729347,OnLine,27.28869057,25.61800385,47.00611115,89.17394257,7.276025295,111.2271423,191,12.32665634,0.778740048
4178,WTG-B,19-Oct-21 00:10:00,5893607,6.754111767,6.769315243,6.570105076,6.587901592,6.21739769,6.233736515,1602236,2790.585449,-3278.5,2635.266602,2079729,67.09999847,-3.700000048,13.33183289,OnLine,30.69491768,23.99203491,47.41037369,88.4899826,7.7611866,158.2174072,171,11.5112896,0
4322,WTG-B,20-Oct-21 00:10:00,5975183,7.67116785,7.700875282,7.49882412,7.519461632,7.142062664,7.165296078,1602236,2802.325928,-3278.5,2602.263672,2131984,67.40000153,-3.700000048,13.35382271,OnLine,32.49814987,26.31183052,48.78547668,88.41201782,7.61164093,142.4580536,174,11.6730566,1.749734044
4466,WTG-B,21-Oct-21 00:10:00,6060804,-0.594422519,-0.277580321,-0.776605248,-0.458993733,-1.126585841,-0.813159168,1602305,799.138855,-3278.5,793.8106689,2165106,58.7830658,-3.700000048,9.216703415,OnLine,17.74672318,22.05405998,41.97173691,62.56336212,9.887827873,34.99317169,-1,6.225203991,6.80445385
4610,WTG-B,22-Oct-21 00:10:00,6117258,-0.545668423,-0.570398211,-0.729368925,-0.751811624,-1.082117081,-1.105977058,1602305,487.7336731,-3278.5,449.1704712,2169549,61.58110046,-3.700000048,7.682826519,OnLine,23.82480812,22.08648109,36.93225098,51.24725723,9.572781563,23.84270859,152,5.40081501,2.296057224
4754,WTG-B,23-Oct-21 00:10:00,6203882,-0.608550727,-0.513512433,-0.786742866,-0.694925785,-1.149579406,-1.04909122,1602305,1230.54126,-3278.5,1523.289185,2189599,60.078022,-3.700000048,11.54493427,OnLine,19.85891724,24.15831947,46.15148544,75.39876556,10.66551018,91.61591339,156,7.176269054,10.79460621
10226,WTG-B,29-Nov-21 23:10:00,6223617,-0.626656711,-0.597409427,-0.76202178,-0.778822839,-1.112621784,-1.132176399,1604317,1734.674316,-3278.5,1716.493652,2198048,61.04844284,-3.700000048,11.86393547,OnLine,20.79513931,21.23015022,31.74355316,81.5583725,9.756245613,63.61481857,229,8.136522293,1
10370,WTG-B,30-Nov-21 23:10:00,6299156,1.895354867,1.486782074,1.727251291,1.305368662,1.368444562,0.951203227,1604754,61.87531281,-3278.5,46.64746857,2209511,57.35064697,-3.700000048,7.448742867,OnLine,26.05873489,19.90177345,36.72994995,51.95290375,15.38771057,30.31536484,74,3.229442835,2
10514,WTG-B,01-Dec-21 23:10:00,6363782,-0.60520345,-0.546125412,-0.789490819,-0.727538824,-1.141301751,-1.081704259,1605810,497.666626,-3278.5,569.2697754,2218470,60.24805832,-3.700000048,8.361681938,OnLine,25.90497208,21.75384712,35.29219055,57.15043259,10.54742432,96.3697052,227,5.309828758,1
10658,WTG-B,02-Dec-21 23:10:00,6429370,3.662116528,2.944577456,6.29786253,6.276997566,2.183244228,2.72704649,1605810,2649.004395,-3278.5,2804.661377,2236089,66.95412445,-3.700000048,13.4687233,OnLine,31.9223156,25.26514053,47.11193848,88.34107208,8.609054565,88.74956512,212,10.40640163,1.517513514
10802,WTG-B,03-Dec-21 23:10:00,6513973,13.37919044,13.3126936,13.19135284,13.1312809,12.85058117,12.77711487,1605810,2776.422852,-3278.5,813.0446777,2261187,56.6558075,-3.700000048,11.09382439,OnLine,17.76471138,19.01788521,41.17546844,71.00537872,6.3349967,94.73321533,34,11.61661816,1.765021801
10946,WTG-B,04-Dec-21 23:10:00,6586488,1.888716459,1.478987217,1.72175324,1.297573805,1.361540437,0.94340837,1605810,85.54621887,-3278.5,23.14533806,2284983,51.33495331,-3.700000048,7.458540916,OnLine,18.85192871,16.17747116,30.63862038,50.56056595,14.6849556,15.65124416,174,3.385172606,9
11090,WTG-B,05-Dec-21 23:10:00,6659008,19.75953484,19.80900002,20.49489021,20.18595505,20.43160057,20.50017166,1605810,2820,-3278.5,1634.147095,2313092,55.78636169,-3.700000048,13.47267532,OnLine,22.08951378,16.83515739,38.39662552,91.37462616,4.152410507,253.5101929,11,21.60893822,13
11234,WTG-B,06-Dec-21 23:10:00,6736540,-0.591612279,-0.271675915,-0.768099666,-0.453089327,-1.121828556,-0.807254732,1605810,549.7496948,-3278.5,487.4263,2337177,56.21868896,-3.700000048,7.820965767,OnLine,11.17069244,6.900025368,30.13472366,51.47383118,9.198460579,54.27836227,132,5.606724262,8
11378,WTG-B,07-Dec-21 23:10:00,6811076,2.931990147,2.939117432,2.749481201,2.75770402,2.396831751,2.403538465,1605810,185.0396118,-3278.5,175.5799713,2352526,53.8947258,-3.700000048,7.520631313,OnLine,13.76076317,11.23092651,28.44274712,51.96217346,12.48079872,26.81291008,158,4.005002022,12
11522,WTG-B,08-Dec-21 23:10:00,6875511,85.00426483,85,84.99840546,85,85.00176239,85,1605810,2820,-3278.5,-12.59076786,2362952,42.0989418,-3.700000048,0.318158865,External Curtailment,22.07068062,13.06140137,25.68899536,2.560526848,0,38.32419968,185,13.72711658,4
11666,WTG-B,09-Dec-21 23:10:00,6918914,11.32348728,11.26867962,11.14232445,11.08726692,10.78851032,10.73310089,1605810,2297.36084,-3278.5,858.2146606,2370618,63.3000145,-3.700000048,11.55754948,OnLine,19.09999847,21.91329575,37.8524437,74.78929138,8.187666893,66.49482727,162,9.282586098,8
11810,WTG-B,10-Dec-21 23:10:00,6996481,24.90025139,25.23497963,24.75001335,25.05356789,24.3773632,24.69940186,1605810,2820,-3278.5,347.7453613,2386658,52.37811279,-3.700000048,8.822563171,OnLine,14.54371643,12.85016918,38.80567169,60.77079391,4.270469189,256.4911804,325,13.98054695,12
11954,WTG-B,11-Dec-21 23:10:00,7054896,14.5783329,14.56794739,14.38732719,14.38653469,14.0315876,14.03236866,1605810,2819.699219,-3278.5,776.6565552,2394516,56.73667145,-3.700000048,11.04925728,OnLine,10.46388149,11.94946289,31.60161018,71.07942963,5.793176651,82.58764648,197,12.76666069,0.600830674
12098,WTG-B,12-Dec-21 23:10:00,7136493,64.59166718,65.06145477,65.55403137,65.9839859,62.70492935,63.15553665,1605810,2820,-3278.5,-15.1060648,2410551,55.02391815,-3.700000048,2.780863523,External Curtailment,26.42491341,15.01767349,34.17269135,18.49192047,1.447906017,57.12714005,177,13.33220577,9
12242,WTG-B,13-Dec-21 23:10:00,7213023,14.8983736,14.87782192,14.71146679,14.69640923,14.35606956,14.34224319,1605903,2819.450684,-3278.5,794.7667236,2428594,60.85395813,-3.700000048,11.03292179,OnLine,15.96729851,19.00772476,37.87612915,73.92577362,6.113488674,90.69727325,176,11.9979105,2.326704979
20594,WTG-B,09-Feb-22 23:10:00,11230324,1.380152702,1.344189763,1.450647712,1.41857636,0.73791939,0.69936949,1606204,251.9084015,-3278.5,216.3191376,3442866,57.67332077,-3.700000048,7.493267059,OnLine,23.81098175,18.81343842,37.89975357,51.42895889,11.51265907,50.14099503,77,4.328416348,3
20738,WTG-B,10-Feb-22 23:10:00,11295777,-0.659024537,-0.072167195,-0.591294646,0.002219435,-1.296711206,-0.707037628,1606204,1198.613281,-3278.5,1521.122437,3454304,61.41841507,-3.700000048,11.46112728,OnLine,19.73944855,17.10642242,37.38760376,74.96895599,10.72360992,141.6588135,196,7.115454197,0
