,turbine,blade1actual,blade1set,blade2actual,blade2set,blade3actual,blade3set,expected power,gearbearing int temp,power,production,gearbox bearing temp,rotor bearing 2 temp,rotor speed,state and fault,generating outboard bearing temp,hub temp,shaft bearing temp,tip speed,tip speed ratio,tower accel,wind dir,wind speed,yaw dev
30386,WTG-G,-0.841252685,-0.845326483,-0.841208756,-0.845326483,-0.835133672,-0.845326483,1044.341553,63.89980698,1209.626099,4601936,61.87447357,-3.700000048,10.59886932,OnLine,31.59089088,17.98799133,38.20189667,69.91040039,10.49130821,72.13312531,81,6.718026638,0
30530,WTG-G,6.275403023,6.018086433,8.716975212,9.122333527,4.975592613,5.884950161,2817.45874,74.22146606,2937.644531,4655180,72.16441345,-3.700000048,13.68038654,OnLine,32.7651062,24.13887024,45.42642975,90.97052765,6.065056801,320.2292786,146,14.70004082,7.654544353
30674,WTG-G,7.198531151,7.202161312,7.198802471,7.202161312,7.201040745,7.202161312,2814.52002,73.16919708,2806.294922,4708424,72.11460876,-3.700000048,13.38247108,OnLine,37.44599152,30.92940903,49.54083633,89.48630524,7.543976307,64.13191986,38,11.9355545,1
30818,WTG-G,7.007962704,6.976731777,7.863390446,7.559060097,7.863380909,7.861517906,2819.748779,73.79994202,2813.127686,4759635,72.76966095,-3.700000048,13.11702442,OnLine,39.96290588,33.87050247,50.90000153,89.28988647,5.91008091,237.3495483,152,14.99116898,0
30962,WTG-G,14.35713863,14.62245941,16.6240921,16.34880638,16.97353554,17.23491859,2820,74.66214752,2852.406494,4822963,73.52197266,-3.700000048,13.49319172,OnLine,40.61388397,33.78489685,50.5,88.11865997,4.601580143,257.6079102,157,19.54061127,3
31106,WTG-G,-0.868166745,-0.843938053,-0.837158024,-0.843938053,-0.843851566,-0.843938053,1654.335571,71.75354767,1634.841064,4886280,70.14946747,-3.700000048,11.75335312,OnLine,35.79374313,30.31494904,50.09999847,77.33102417,9.7329216,154.3652191,159,8.047581673,1
31250,WTG-G,-0.855991185,-0.810547411,-0.84300977,-0.810547411,-0.859900832,-0.810547411,363.4750061,61.74354935,463.9367065,4918404,58.32844543,-3.700000048,7.785233974,OnLine,32.33306503,23.92860031,41.93117905,52.66658401,10.71234035,70.29503632,28,4.83096838,1
31394,WTG-G,-0.822720408,-0.463059604,-0.819455326,-0.463059604,-0.81447202,-0.463059604,261.4405212,68.25454712,493.7895508,4954547,65.17849731,-3.700000048,7.912146568,OnLine,28.93723869,20.08560753,38.23855972,53.22851563,12.13668346,88.14618683,60,4.335991383,1.021959305
31538,WTG-G,17.24805832,17.22595787,17.25082779,17.22595787,17.25030899,17.22595787,1568.917725,65.96624756,76.12781525,4967447,61.52179337,-3.700000048,7.720021725,OnLine,32,25.40024185,42.27155685,50.0893364,6.591228008,66.97264862,163,7.79927969,2.634510517
31682,WTG-G,2.227654457,2.188344479,2.234002113,2.236186266,2.226295948,2.236186743,2520.096191,73.5,2766.473389,5014658,71.72938538,-3.700000048,13.41528034,OnLine,34.03881454,27.82745361,48.11246872,87.57565308,8.93037796,137.4022369,165,9.997995377,7.742194653
31826,WTG-G,1.618753791,1.623293519,1.618123293,1.623293519,1.621469736,1.623293519,2408.267822,74.36976624,2489.603027,5054808,72.70465851,-3.700000048,13.41366863,OnLine,36.70034409,30.80038261,50.03199768,87.02445221,9.274951935,133.1044769,130,9.6634655,2
31970,WTG-G,6.026807785,6.027531147,6.027713299,6.027531624,6.030447006,6.027530193,2809.361572,74.93499756,2810.984375,5117115,73.41631317,-3.700000048,13.48691082,OnLine,39.66308975,34.78246307,52.85728836,88.84645081,7.584573746,166.0735626,318,11.84002686,9
32114,WTG-G,85.01474762,84.77210999,84.9952774,84.77210999,85.00463104,84.77210999,6.323334694,59.41823578,-12.43254948,5157301,50.03346634,-3.700000048,0.241337866,Weather Outage,33.45645523,28.71658134,39.12525558,1.604373932,0,35.15749359,76,0.809515417,48.54299927
32258,WTG-G,-0.855520487,-0.850595474,-0.827062786,-0.850595474,-0.828787684,-0.850595474,968.0548706,64.91997528,1263.563965,5176844,63.69999695,-3.700000048,10.71543789,OnLine,32.66981506,25.88327408,45.53661346,72.29251862,10.85019112,139.9294891,104,6.620983124,2
