,turbine,blade1actual,blade1set,blade2actual,blade2set,blade3actual,blade3set,expected power,gearbearing int temp,power,production,gearbox bearing temp,rotor bearing 2 temp,rotor speed,state and fault,generating outboard bearing temp,hub temp,shaft bearing temp,tip speed,tip speed ratio,tower accel,wind dir,wind speed,yaw dev,Turbine,WTG-B (2.82-FDR 2A) - BLADE 1 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 1 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - SET VALUE,WTG-B (2.82-FDR 2A) - EXPECTED POWER,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE INTERMEDIATE SHAFT GENERATOR SIDE (ROTOR SIDE),WTG-B (2.82-FDR 2A) - POWER,WTG-B (2.82-FDR 2A) - PRODUCTION,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR BEARING 2 TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR SPEED (PLC),WTG-B (2.82-FDR 2A) - STATE AND FAULT,WTG-B (2.82-FDR 2A) - GENERATOR OUTBOARD BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - HUB TEMPERATURE,WTG-B (2.82-FDR 2A) - SHAFT BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - TIP SPEED,WTG-B (2.82-FDR 2A) - TIP SPEED RATIO,WTG-B (2.82-FDR 2A) - TOWER ACCELERATION,WTG-B (2.82-FDR 2A) - WIND DIRECTION,WTG-B (2.82-FDR 2A) - WIND SPEED,WTG-B (2.82-FDR 2A) - YAW DEVIATION
46946,WTG-D,-0.151657,-0.013730546,-1.784775019,-1.885801196,-0.553375781,-0.672691941,672.765564,-3278.5,622.1665649,6772386,62.76342773,-3.700000048,9.268307686,OnLine,40.86532593,37.18502426,42.48530579,55.23865128,8.765680313,228.4882202,122,6.354484081,2.210260868,,,,,,,,,,,,,,,,,,,,,,,,
47090,WTG-D,-2.731748581,-2.708009243,0.677049518,0.467674166,-0.55928117,-0.38499096,1510.504028,-3278.5,852.7244263,6783677,65.4070816,-3.700000048,10.07429981,OnLine,41.84870148,38.07423019,43.11765671,60.63378906,7.326336861,110.7868958,154,8.360500336,0.843475342,,,,,,,,,,,,,,,,,,,,,,,,
47234,WTG-D,-0.545160115,-0.637117147,-1.067509294,-1.020811677,-0.929967761,-0.933085024,451.4087524,-3278.5,493.9871216,6796711,62.08377457,-3.700000048,8.576360703,OnLine,41.17948151,39.13399124,42.52015686,53.29597855,9.342442513,165.5087585,169,5.587986946,2.0,,,,,,,,,,,,,,,,,,,,,,,,
47378,WTG-D,-0.247313857,-0.488008708,-1.603654981,-1.193779588,-0.860134065,-0.927066982,1071.091431,-3278.5,846.6033325,6811746,62.84016418,-3.700000048,9.936929703,OnLine,43.12834549,40.23469162,44.40113449,62.01274872,8.260419846,141.3122406,188,7.416116714,3.0,,,,,,,,,,,,,,,,,,,,,,,,
47522,WTG-D,-2.052178383,-1.840397239,0.561964214,0.200726047,1.175859928,1.291941524,1637.920776,-3278.5,2003.192383,6833808,69.08079529,-3.700000048,13.27751255,OnLine,45.21281433,43.18601227,46.19203568,81.33571625,9.403487206,218.3539276,196,8.635909081,6.764266491,,,,,,,,,,,,,,,,,,,,,,,,
47666,WTG-D,-0.497441351,-0.627881825,-0.881772876,-1.01371932,-0.851216376,-0.925668836,2412.909424,-3278.5,1620.158813,6863397,67.69636536,-3.700000048,12.40911961,OnLine,38.61204147,39.92427063,44.74565125,77.02577972,6.998882771,313.9342041,41,10.73514175,5.662261963,,,,,,,,,,,,,,,,,,,,,,,,
47810,WTG-D,-0.042691909,-0.029197251,-0.421612293,-0.415034741,-0.337652504,-0.326984257,317.165802,-3278.5,275.947052,6877225,60.11883545,-3.700000048,7.433868408,OnLine,33.50282669,29.79462624,36.5,46.82474518,8.947337151,46.16316223,65,5.045487881,5.0,,,,,,,,,,,,,,,,,,,,,,,,
47954,WTG-D,-0.533281386,-0.460102111,-0.493870407,-0.332958251,-1.795153737,-1.826891303,476.2499084,-3278.5,423.9216309,6880438,61.78990555,-3.700000048,8.224654198,OnLine,36.46219254,33.93015289,39.29999924,50.40904617,8.757370949,193.1417694,183,5.687750816,10.0,,,,,,,,,,,,,,,,,,,,,,,,
48098,WTG-D,0.535753727,0.603228986,-1.965346456,-1.870319724,-1.195102811,-1.349512815,1214.224121,-3278.5,1193.005005,6896769,67.9960556,-3.700000048,11.22320175,OnLine,41.31964874,37.44702911,42.11178589,70.4021759,8.820815086,189.5518341,189,7.741418362,13.0,,,,,,,,,,,,,,,,,,,,,,,,
48242,WTG-D,-0.64076817,-0.244214192,-0.684924185,-0.630051732,-0.5890975,-0.542001247,883.6704712,-3278.5,623.4302979,6906673,60.4527626,-3.700000048,9.101230621,OnLine,39.26015091,35.75061035,40.09999847,53.61413956,8.143008232,166.0678101,256,6.73540926,9.0,,,,,,,,,,,,,,,,,,,,,,,,
48386,WTG-D,74.66552734,73.99040985,74.67829895,73.99040985,74.6552124,73.99040985,5.429194927,-3278.5,-14.26844883,6911000,42.91512299,-3.700000048,0.38218534,Weather Outage,30.35448265,28.05177307,32.12233734,2.320574045,0.002309744,9.531368256,338,2.696832418,3.0,,,,,,,,,,,,,,,,,,,,,,,,
48530,WTG-D,-0.631543636,-0.644589186,-1.031447887,-1.030426621,-0.931600034,-0.942376196,840.416748,-3278.5,948.7850952,6918222,60.94817352,-3.700000048,10.28790283,OnLine,37.73874283,33.10456467,39.25338745,62.47471237,9.173740387,170.5062256,127,6.857535362,9.0,,,,,,,,,,,,,,,,,,,,,,,,
48674,WTG-D,-0.187038437,-0.252426445,-0.588894308,-0.638263941,-0.509384811,-0.550213516,113.2348633,-3278.5,257.2206116,6921270,61.56795502,-3.700000048,7.424612522,OnLine,38.65856552,35.41870499,39.60233688,47.55541611,11.75466156,50.80466843,99,3.844368935,2.743258476,,,,,,,,,,,,,,,,,,,,,,,,
48818,WTG-D,-0.260786623,-0.425245166,-0.752385318,-0.679377377,-1.557718277,-1.485504031,1179.448242,-3278.5,814.0338135,6925114,62.38222122,-3.700000048,10.00151634,OnLine,39.57574844,36.82922745,40.60018921,59.07591248,7.929527283,101.7277451,155,7.662382126,6.819128036,,,,,,,,,,,,,,,,,,,,,,,,
48962,WTG-D,-0.650856793,-0.645441473,-1.037202477,-1.031279206,-0.950150728,-0.943228602,970.8330688,-3278.5,797.9784546,6933699,60.92980194,-3.700000048,9.779294968,OnLine,39.49998856,37.0458107,41.20755386,60.61063766,8.39160347,113.6855164,135,7.188257217,14.0,,,,,,,,,,,,,,,,,,,,,,,,
49106,WTG-D,-0.567103803,-0.602962852,-1.154345274,-1.171296597,-0.87802422,-0.809855819,473.7324829,-3278.5,619.7954712,6942641,63.14499664,-3.700000048,8.934354782,OnLine,40.67240906,37.84109497,42.03952789,53.80342102,9.627440453,108.8731766,165,5.677640438,1.795362234,,,,,,,,,,,,,,,,,,,,,,,,
49250,WTG-D,-0.619755089,-0.452327013,-1.072857261,-0.812906861,-0.890350044,-0.759807169,328.6741638,-3278.5,652.8744507,6965699,67.85636902,-3.700000048,9.037652016,OnLine,40.40946579,37.80302429,42.7027092,55.94440079,10.923666,192.3286743,297,5.095077038,12.0,,,,,,,,,,,,,,,,,,,,,,,,
49394,WTG-D,1.017789364,0.910679579,-2.79716301,-2.347195864,-0.793817103,-1.237805367,1346.797974,-3278.5,1742.003296,6999837,67.05578613,-3.700000048,12.57784176,OnLine,38.38924408,38.94771576,43.29663467,78.64499664,9.663509369,173.3225098,195,8.001852989,2.0,,,,,,,,,,,,,,,,,,,,,,,,
49538,WTG-D,0.773743868,0.830396175,0.377949357,0.44455862,0.465809464,0.532609105,57.13199615,-3278.5,168.0867767,7017892,59.38163757,-3.700000048,7.444242477,OnLine,35.31518936,33.73461533,39.8497963,45.3454895,13.24537468,135.9705658,191,3.402614117,0.0,,,,,,,,,,,,,,,,,,,,,,,,
49682,WTG-D,0.973308504,1.049564481,0.590175986,0.663726926,0.66890198,0.751777411,267.4251099,-3278.5,202.4925385,7022794,60.65203857,-3.700000048,7.429552555,OnLine,39.58372116,36.07650375,40.76211929,46.78107071,9.430831909,88.73130035,118,4.781541348,2.0,,,,,,,,,,,,,,,,,,,,,,,,
49826,WTG-D,-0.351500988,-0.337897629,-0.736354709,-0.723735094,-0.64419961,-0.635684669,1127.328979,-3278.5,793.9632568,7035824,61.8094368,-3.700000048,9.842801094,OnLine,39.61028671,36.86610794,41.88711929,59.08023453,7.926543236,82.84236145,107,7.543929577,1.0,,,,,,,,,,,,,,,,,,,,,,,,
