,turbine,date & time,op time,blade1actual,blade1set,blade2actual,blade2set,blade3actual,blade3set,down time,expected power,gearbearing int temp,power,production,gearbox bearing temp,rotor bearing 2 temp,rotor speed,state and fault,generating outboard bearing temp,hub temp,shaft bearing temp,tip speed,tip speed ratio,tower accel,wind dir,wind speed,yaw dev
9938,WTG-C,27-Nov-21 23:10:00,6420856,5.781718254,5.56765461,6.002259731,5.969156265,6.122645378,5.785933495,1705445,2451.856201,62.40000153,2813.50293,2277833,71.90772247,-3.700000048,13.53796291,OnLine,30.76573181,19.02918816,44.55084229,88.77278137,9.108046532,115.1014328,15,9.898826599,0
10082,WTG-C,28-Nov-21 23:10:00,6481397,3.716244221,4.147272587,0.071746923,0.290130824,2.644761562,3.323631763,1705445,2568.509277,59.29999924,2816.989014,2307494,68.77802277,-3.700000048,13.44200611,OnLine,24.99989891,15.19900703,40.77058792,88.75197601,8.888660431,127.8415222,184,10.06163406,4.436810017
10226,WTG-C,29-Nov-21 23:10:00,6560941,-0.741199076,-0.726163208,-0.988969862,-0.97971493,-0.823628843,-0.808707297,1705445,391.5399475,59.0077858,512.5603027,2329050,65.1472168,-3.700000048,8.014978409,OnLine,33.21377182,22.75572586,41.32268524,53.40999985,10.73615265,165.3550262,217,4.95247364,2
10370,WTG-C,30-Nov-21 23:10:00,6633448,1.430930018,1.077440143,1.174936175,0.823888481,1.36134696,1.096418619,1705445,138.8630371,55.8878479,84.29773712,2336009,59.27372742,-3.700000048,7.451570034,OnLine,28.50639343,18.96974373,40.85489655,51.34722519,13.32674026,82.2232666,2,3.735940933,12
10514,WTG-C,01-Dec-21 23:10:00,6698343,-0.703542829,-0.698530972,-0.960374534,-0.952082694,-0.814982712,-0.77575767,1705748,939.5883789,56.43018723,753.1824341,2348230,63.17712784,-3.700000048,9.175623894,OnLine,31.27406311,18.99842834,36.76753616,58.308918,9.330607414,51.91631699,222,6.533149242,1.477570295
10658,WTG-C,02-Dec-21 23:10:00,6757967,-0.993393004,-0.807293534,1.642063856,0.980398059,-0.886106789,-1.017845511,1705748,2415.990234,63.02223587,2351.178467,2363665,72.36231232,-3.700000048,13.44708633,OnLine,33.33415985,24.45603752,46.07551956,87.94561005,9.372917175,63.20385742,197,9.607329369,0.345744759
10802,WTG-C,03-Dec-21 23:10:00,6841585,13.85271931,13.81532955,13.59045124,13.56177807,14.16285324,14.05037022,1705748,2739.321289,53.69159698,616.9271851,2384733,59.60125732,-3.700000048,10.30439758,OnLine,27.62891769,18.12092018,41.10595322,71.20974731,6.17787075,97.69169617,19,11.159729,3.754548073
10946,WTG-C,04-Dec-21 23:10:00,6911066,1.519168139,1.273887634,1.277277708,1.020335913,1.419934511,1.054762721,1705748,30.26252747,48.8181839,33.80838776,2409212,50.17657089,-3.700000048,7.484598637,OnLine,23.41073036,15.21385002,31.45899391,49.1064682,16.59994698,7.634753227,157,3.001407385,7.2015481
11090,WTG-C,05-Dec-21 23:10:00,6982563,13.28905964,13.29996777,13.24133492,13.25187111,13.57553673,13.43257427,1705748,2820,53.84226608,1712.434937,2434318,62.32389069,-3.700000048,13.38687515,OnLine,29.32039642,16.04668045,39.44847107,87.17932129,4.972642899,168.0744171,-1,17.93187332,14.22255516
11234,WTG-C,06-Dec-21 23:10:00,7060132,-0.795012176,-0.813092053,-0.843637645,-0.861448646,-0.805970252,-0.82218951,1705748,508.4866943,50.16420364,421.675415,2456396,56.62664795,-3.700000048,7.495488644,OnLine,16.48321342,5.724404335,32,52.05680084,9.321802139,10.76827812,124,5.336140633,0.706639469
