,turbine,blade1actual,blade2actual,blade3actual,power,rotor speed,generating outboard bearing temp,hub temp,wind speed
10802,WTG-C,13.85271931,13.59045124,14.16285324,616.9271851,10.30439758,27.62891769,18.12092018,11.159729
10946,WTG-C,1.519168139,1.277277708,1.419934511,33.80838776,7.484598637,23.41073036,15.21385002,3.001407385
11090,WTG-C,13.28905964,13.24133492,13.57553673,1712.434937,13.38687515,29.32039642,16.04668045,17.93187332
11234,WTG-C,-0.795012176,-0.843637645,-0.805970252,421.675415,7.495488644,16.48321342,5.724404335,5.336140633
11378,WTG-C,2.420837879,2.374795675,2.469906092,180.5652313,7.543878078,19.18432808,9.216013908,3.861053467
11522,WTG-C,85.00399017,85.007164,84.9996109,-11.3423357,0.519565344,21.65606117,12.21347141,12.13517475
11666,WTG-C,10.06819153,10.01701832,10.06285095,899.7450562,11.55821323,31.79028893,20.70359421,9.589466095
11810,WTG-C,23.85076141,23.80672264,23.9808979,368.2785034,8.991095543,24.95709229,11.74600124,16.41063118
11954,WTG-C,14.29023361,14.23787022,13.89366722,514.3074951,9.900817871,21.68615341,9.760793686,8.471487045
12098,WTG-C,18.17494965,18.3047657,18.68192291,587.5707397,8.722300529,24.88203239,14.79388142,12.36552715
12242,WTG-C,15.18543911,15.12596893,15.0747242,773.8258667,11.05847073,28.99424362,17.97942162,14.21314335
16418,WTG-C,17.94135666,17.89387321,18.14763641,202.0380859,7.727933407,25.81718254,14.14636612,6.863028526
16562,WTG-C,0.66481024,0.614898026,0.653061569,239.5390625,7.460160732,29.31956863,17.01054001,4.781261921
16706,WTG-C,1.03132534,0.986051738,1.012691736,162.2337189,7.46663332,29.98059273,19.85350227,4.217355251
16850,WTG-C,23.51771927,23.47750092,23.51757813,-5.297289848,8.078762054,22.3421402,8.741300583,11.29162598
16994,WTG-C,5.845231533,5.799664974,5.836614132,552.6885376,9.70741272,13.46815681,1.695054054,5.347738266
17138,WTG-C,1.592865944,1.540961027,1.576480389,125.8728027,7.454349041,26.12388229,13.67074966,3.255634785
17282,WTG-C,84.99891663,85.00720978,84.98912811,-3.312826395,0.505052745,18.81631088,12.83185387,10.48953056
20594,WTG-C,1.146779418,1.101690173,1.142685652,107.1440659,7.48059082,30.34309006,15.41542912,3.673634291
20738,WTG-C,2.013754129,1.952340245,2.003580093,2693.032959,13.43931866,28.48987389,16.95943069,9.574942589
20882,WTG-C,11.14156914,12.48699665,13.20934296,2852.997559,13.39820194,23.78574181,12.80593491,16.23702812
21026,WTG-C,0.713829994,1.530416965,2.573255301,2377.030029,13.46227455,17.32605362,3.932426214,8.089168549
21170,WTG-C,8.928469658,8.882043839,8.857525826,1415.991089,13.38989162,23.00417137,11.72631454,9.955043793
21314,WTG-C,-0.839750767,-0.892186522,-0.857783616,1680.679443,11.79153156,27.73031425,16.7996769,8.384661674
21458,WTG-C,10.94563675,10.86920166,10.92221451,2828.424805,13.26302338,32.20899963,20.11706734,11.4444561
21602,WTG-C,8.609534264,9.768897057,9.618908882,1891.146729,13.48885822,26.30531502,16.70670128,9.418347359
21746,WTG-C,84.76616669,84.74346161,84.75658417,-13.43326759,0.254784077,12.33618736,2.108811378,0.984139264
21890,WTG-C,-0.839533091,-0.875175416,-0.843171895,1095.782227,10.17217445,23.23851967,8.971225739,6.425982475
22034,WTG-C,84.99314117,84.98954773,84.98898315,-14.20971012,0.26395157,24.56668282,13.03891563,7.843386173
22178,WTG-C,6.897808552,6.844939709,6.889393806,2436.246826,13.4878397,31.70788383,19.05685997,8.247620583
22322,WTG-C,8.879826546,8.831684113,8.869771957,2766.069336,13.31370449,32.95631027,18.41534233,12.02141571
22466,WTG-C,9.024759293,8.901589394,9.171158791,2199.039795,13.45821667,12.51299953,3.024658918,10.51477909
22610,WTG-C,-0.412005574,-0.894198418,-0.859265029,536.8313599,8.005074501,9.769463539,0.798677683,5.388253212
22754,WTG-C,85.00183868,84.99210358,84.98708344,-3.448201418,0,6.301000118,-2.217798948,7.487624645
22898,WTG-C,1.688026309,1.634139299,1.670919299,38.47432327,7.476776123,7.673314571,-0.664934814,4.3010993
23042,WTG-C,12.80825615,12.7489624,12.79452229,-19.74255943,1.091762185,13.62629223,9.807959557,1.616241097
23186,WTG-C,-0.839189112,-0.88448596,-0.842275143,1777.472534,11.93032074,27.49999809,12.71067619,7.353077888
23330,WTG-C,-0.625013173,-0.672401547,-0.631528974,1119.532593,10.11091709,28.67557716,18.78874397,6.555635452
23474,WTG-C,7.312577724,6.091971874,3.296050072,1616.809204,13.45031643,33.8098526,24.31131744,7.819332123
23618,WTG-C,3.96046114,3.915020466,3.951388121,1748.561523,13.51123333,33.6413269,23.85927582,8.013930321
23762,WTG-C,85.00833893,85.01833344,85.0189743,-15.04902458,0.458559602,34.22936249,25.76026344,10.22188568
23906,WTG-C,17.45758629,17.38911057,17.43235779,905.3899536,11.54130173,32.20666122,21.07652473,14.5952673
24050,WTG-C,0.224388003,0.168258443,0.210073948,2189.667725,13.01414013,25.37319946,16.84914589,8.067025185
24194,WTG-C,0.340812474,0.300211251,0.419733971,2142.596924,12.76840115,15.67860889,1.708569288,8.291049957
24338,WTG-C,1.138976097,1.093940139,1.133057952,115.5294724,7.476400375,12.2721386,2.164739132,4.226638794
24482,WTG-C,1.472679138,1.420336962,1.466385007,91.26985931,7.472858429,15.49681187,9.946317673,3.165044546
36866,WTG-C,-0.736372948,-0.920497656,-0.847538054,511.2679138,8.137771606,34.5,24.89008713,6.182343006
37010,WTG-C,-0.731504619,-0.925374568,-0.842213035,1526.727051,11.48413372,35.2182579,25.74842834,7.555648327
37154,WTG-C,4.327777386,4.151743889,4.224091053,2829.737061,13.50974751,40.14381027,29.62789154,10.36837196
37298,WTG-C,90.47608185,90.37042236,90.43127441,-1.955199242,0.026319979,38.9365387,29.88874626,10.16712666
37442,WTG-C,-0.66241461,-0.898351073,-0.773860753,950.5828247,9.917770386,40.42981339,30.76963615,6.845016956
37586,WTG-C,1.245498896,1.055505276,1.139316201,143.0652618,7.486485481,37.90044785,30.02248383,3.41794014
37730,WTG-C,1.765281916,1.555531263,1.652300239,88.36058807,7.486851215,35.64043808,27.80722618,3.137295723
37874,WTG-C,-0.692036688,-0.886182725,-0.805377603,1362.663208,11.00361061,39.83111191,29.6697216,6.851862431
38018,WTG-C,90.51622009,90.3872757,90.40608215,-3.307385445,0,37.43093109,34.90192795,4.644691467
38162,WTG-C,-0.765795171,-0.954595029,-0.881293476,1224.897583,10.84943676,45.39998627,36.01792526,7.355757236
38306,WTG-C,8.418527603,8.234285355,8.307561874,2801.458496,13.56431484,49.22971344,38.96191406,12.55062199
38450,WTG-C,10.86710739,8.876525879,8.656937599,2814.353516,13.4063139,47.38129425,36.96484756,12.73402882
38594,WTG-C,8.033495903,7.845910072,7.929555893,2905.833984,13.75035667,46.08845139,35.96152115,13.25888443
38738,WTG-C,-0.751313567,-0.936476171,-0.854299366,1795.522095,12.33946609,44.80887604,36.67377472,7.549037933
38882,WTG-C,-0.28440699,-0.471038491,-0.389549881,2012.043091,12.89292812,43.76200485,35.60943604,8.478844643
39026,WTG-C,-0.660810113,-0.851370633,-0.773679316,1875.749023,12.46316338,44.33342361,36.58514786,8.90853405
